Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
Russian American Cultural Heritage Center,"34 Hillside Avenue, Apt. 4C","34 Hillside Avenue, Apt. 4C, New York",40.8586291,-73.9289012,New York,NY,10040,(212) 567-5834,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #12,Manhattan,283,1064130,1021710052,Washington Heights North
"Russian Musical Arts Society of America, Inc.","731 West 183rd Street,  Apt. 3I","731 West 183rd Street,  Apt. 3I, New York",40.8520426,-73.9369185,New York,NY,10033,(212) 928-1402,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,273,1064410,1021800085,Washington Heights North
"Russian-American Foundation, Inc.","70 West 36th Street, Ste. 701","70 West 36th Street, Ste. 701, New York",40.7506112,-73.9862911,New York,NY,10018,(212) 687-6132,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,84,1015916,1008377501,Midtown-Midtown South
"Ryan Repertory Company, Inc.",2445 Bath Avenue,"2445 Bath Avenue, Brooklyn",40.5950206,-73.9916459,Brooklyn,NY,11214,(718) 996-4800,Theater,Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn,302,3186057,3068770001,Bensonhurst East
"S.E.M. Ensemble, Inc.",25 Columbia Place,"25 Columbia Place, Brooklyn",40.6929985,-73.998475,Brooklyn,NY,11201,(718) 488-7659,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,7,3002274,3002590012,Brooklyn Heights-Cobble Hill
"S.I.T.U., Inc.","127 Second Avenue, #19","127 Second Avenue, #19, New York",40.7283726,-73.9880339,New York,NY,10003,(212) 260-3546,Dance,,Manhattan Community Board #2,Manhattan,38,1006679,1004630031,East Village
"SENS Production, Inc.",148 Classon Avenue,"148 Classon Avenue, Brooklyn",40.6953058,-73.9619276,Brooklyn,NY,11205,(718) 302-5024,Dance,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,191,3054626,3018950042,Clinton Hill
SMARTSPACES-DOT-ORG,61 7th Avenue South,"61 7th Avenue South, New York",40.7318202,-74.003548,New York,NY,10014,(646) 823-6993,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,67,1009947,1005870021,West Village
"STEM From Dance, Inc.",590 Flatbush Avenue,"590 Flatbush Avenue, Brooklyn",40.6590451,-73.9612848,Brooklyn,NY,11225,(516) 521-9740,Dance,Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn,79802,3114604,3050260132,Prospect Lefferts Gardens-Wingate
"SYREN Modern Dance, Inc.","3420 44th Street, #3F","3420 44th Street, #3F, Long Island City",40.754771,-73.918328,Long Island City,NY,11101,(917) 650-5134,Dance,Queens Council District #26,Queens Community Board #1,Queens,159,4012316,4007030034,Astoria
"Sachiyo Ito and Company, Inc.","405 West 23rd Street, Ste. 4G","405 West 23rd Street, Ste. 4G, New York",40.7469476,-74.0018128,New York,NY,10011,(212) 627-0265,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,93,1077236,1007217501,Hudson Yards-Chelsea-Flatiron-Union Square
Sacred Music Chorale of Richmond Hill,86-20 114th Street,"86-20 114th Street, Richmond Hill",40.698775,-73.835442,Richmond Hill,NY,11418,(917) 837-5783,Music,Queens Council District #30,Queens Community Board #9,Queens,130,4192690,4092260069,Richmond Hill
"Saeko Ichinohe and Company, Inc.","159 West 53rd Street, Suite 22-H","159 West 53rd Street, Suite 22-H, New York",40.7630049,-73.9812824,New York,NY,10019,(212) 757-2531,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,131,1023166,1010067501,Midtown-Midtown South
Saint Alban's Episcopal Church,76 Saint Alban's Place,"76 Saint Alban's Place, Staten Island",40.5438842,-74.1607186,Staten Island,NY,10312,(718) 984-7756,Music,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,15601,5107683,5052390048,Great Kills
"Saint Mary's Community Services, Inc.",230 Classon Avenue,"230 Classon Avenue, Brooklyn",40.6926161,-73.9610781,Brooklyn,NY,11205,(718) 230-0827,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,193,3054909,3019090053,Clinton Hill
Salmagundi Club,47 Fifth Avenue,"47 Fifth Avenue, New York",40.734236,-73.9944964,New York,NY,10003,(212) 255-7740 x210,Visual Arts,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,61,1009274,1005690004,West Village
Salon de Virtuosi,P.O. Box 816,"P.O. Box 816, New York",40.7127753,-74.0059728,New York,NY,10017,(914) 589-6880,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,,,,
Salvadori Center,"475 Riverside Drive, Suite 1272","475 Riverside Drive, Suite 1272, New York",40.810813,-73.9636955,New York,NY,10115,(212) 870-3970,Architecture/Design,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,205,1059835,1019910001,Morningside Heights
Salvation Army,86-07 35th Avenue,"86-07 35th Avenue, Jackson Heights",40.7524467,-73.8806356,Jackson Heights,NY,11372,(212) 337-7201,"Multi-Discipline, Performing",Queens Council District #25,Queens Community Board #3,Queens,279,4437130,4014470035,Jackson Heights
Salvatore LaRussa Dance Co.,66-79 73 Place,"66-79 73 Place, Middle Village",40.71314,-73.879265,Middle Village,NY,11379,(917) 686-7429,Dance,Queens Council District #30,Queens Community Board #5,Queens,65702,4071451,4030580003,Middle Village
Sandy Ground Historical Society,1538 Woodrow Road,"1538 Woodrow Road, Staten Island",40.5409878,-74.2164881,Staten Island,NY,10309,(718) 317-5796,Museum,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,20803,5085733,5070200098,Rossville-Woodrow
"Sarah Michelson, Inc.",140 Second Ave #501,"140 Second Ave #501, New York",40.7288722,-73.9871248,New York,NY,10003,(212) 375-8283,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,38,1006362,1004500006,East Village
"Saratoga International Theater Institute, Inc.","520 Eighth Avenue, Ste. 310","520 Eighth Avenue, Ste. 310, New York",40.753615,-73.9920415,New York,NY,10018,(212) 868-0860,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,109,1083624,1007860001,Midtown-Midtown South
Scandinavian American Theater Company,520 8th Ave,"520 8th Ave, New York",40.753615,-73.9920415,New York,NY,10018,(646) 508-2263,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,109,1083624,1007860001,Midtown-Midtown South
Scandinavian East Coast Museum,440 Ovington Avenue,"440 Ovington Avenue, Brooklyn",40.6329682,-74.0228055,Brooklyn,NY,11209,(718) 567-9620,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,130,3146599,3058920024,Bay Ridge
"Scenarios USA, Inc.",80 Hanson Place,"80 Hanson Place, Brooklyn",40.6852577,-73.974417,Brooklyn,NY,11217,(718) 230-5125,Film/Video/Audio,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,35,3057479,3020030034,Fort Greene
"School News Nationwide, Inc.",1068 Fulton Street,"1068 Fulton Street, Brooklyn",40.6814898,-73.9580934,Brooklyn,NY,11238,(718) 753-9920,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #13,Brooklyn,227,3057701,3020160012,Clinton Hill
"School of American Ballet, Inc.","70 Lincoln Center Plaza, Fifth Floor","70 Lincoln Center Plaza, Fifth Floor, New York",40.7741882,-73.9842563,New York,NY,10023,(212) 769-6600,Dance,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,149,1077844,1011377501,Lincoln Square
Sculptors Alliance Inc.,"305 East 11th Street, Apt. 5D","305 East 11th Street, Apt. 5D, New York",40.7302673,-73.9856274,New York,NY,10003,(212) 982-4135,Visual Arts,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40,1079353,1004530011,East Village
"Sculpture Center, Inc.",44-19 Purves Street,"44-19 Purves Street, Long Island City",40.7469284,-73.940827,Long Island City,NY,11101,(718) 361-1750,Visual Arts,Queens Council District #26,Queens Community Board #2,Queens,19,4461880,4002670014,Hunters Point-Sunnyside-West Maspeth
"Search and Restore, Inc.","332 Gates Avenue, Apt 1","332 Gates Avenue, Apt 1, New York City",40.6856792,-73.9533178,New York City,NY,11216,(617) 548-3961,Music,Brooklyn Council District #36,Brooklyn Community Board #3,Manhattan,,,,
"Seaside Summer Concert Series, Inc.","32 Court Street, Ste. 607","32 Court Street, Ste. 607, Brooklyn",40.6929538,-73.9910393,Brooklyn,NY,11201,(212) 297-4888,Music,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,9,3002248,3002550044,Brooklyn Heights-Cobble Hill
"Second Generation Productions, Inc.",80-17 Bell Blvd.,"80-17 Bell Blvd., Hollis Hillls",40.733802,-73.754572,Hollis Hillls,NY,11427,(212) 334-4777,Theater,Queens Council District #23,Queens Community Board #11,Manhattan,,,,
Second Stage Theatre,305 West 43rd Street,"305 West 43rd Street, New York",40.758199,-73.989679,New York,NY,10036,(212) 787-8302 x106,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1024967,1010340029,Clinton
Secret City,378 Manhattan Ave #2L,"378 Manhattan Ave #2L, Brooklyn",40.7170494,-73.94625,Brooklyn,NY,11211,(917) 208-7948,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #1,Manhattan,20102,,,Central Harlem South
Seedco Financial Services,"915 Broadway, 17th Floor","915 Broadway, 17th Floor, New York",40.739751,-73.9898869,New York,NY,10010,(212) 204-1300,Other,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,52,1016226,1008490070,Hudson Yards-Chelsea-Flatiron-Union Square
Seeing for Ourselves Inc,101 Clark Street,"101 Clark Street, Brooklyn",40.6976505,-73.9920476,Brooklyn,NY,11201,(914) 413-5378,Photography,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,1,3001727,3002320001,Brooklyn Heights-Cobble Hill
September 11th Widows and Victim Families Association,"22 Cortlandt Street, Suite 801","22 Cortlandt Street, Suite 801, New York",40.7104702,-74.0105359,New York,NY,10007,(212) 422-3520 x111,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,13,1001069,1000630003,Battery Park City-Lower Manhattan
September Concert Foundation,601 West 57th St #37D,"601 West 57th St #37D, New York",40.7708915,-73.9917734,New York,NY,10019,(212) 333-3399,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,135,1081009,1011050029,Clinton
"Serenade at Historic Christ Church, Inc.",228 Bard Avenue,"228 Bard Avenue, Staten Island",40.6389621,-74.1076394,Staten Island,NY,10310,(718) 727-6100,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,97,5003543,5001380162,West New Brighton-New Brighton-St. George
Serious Fun After School Inc.,237 Lincoln Ave,"237 Lincoln Ave, Sayville",40.7462952,-73.0821466,Sayville,NY,11782,(718) 956-5945,Theater,Queens Council District #26,Queens Community Board #2,Queens,,,,
"Sesame Flyers International, Inc.",3510 Church Avenue,"3510 Church Avenue, Brooklyn",40.6509055,-73.9444091,Brooklyn,NY,11203,(718) 693-0500,Music,Brooklyn Council District #45,Brooklyn Community Board #17,Brooklyn,856,3109467,3048890004,East Flatbush-Farragut
Seven Stories Institute,2113 Amsterdam Avenue,"2113 Amsterdam Avenue, New York",40.837642,-73.9382554,New York,NY,10032,(347) 688-4456,Humanities,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,24301,1062632,1021110008,Washington Heights South
"Seventh Regiment Armory Conservancy, Inc.",643 Park Avenue,"643 Park Avenue, New York",40.7672426,-73.9655172,New York,NY,10065,(212) 616-3951,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan,120,1042460,1014010001,Upper East Side-Carnegie Hill
"Shadow Box Theatre, Inc.","325 West End Avenue, Apt. 12B","325 West End Avenue, Apt. 12B, New York",40.7820877,-73.9831407,New York,NY,10023,(212) 724-0677,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,163,1031026,1011850019,Upper West Side
Shakespeare Society,191 7th Avenue,"191 7th Avenue, New York",40.7429075,-73.99621,New York,NY,10011,(212) 967-6802,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,87,1080586,1007970002,Hudson Yards-Chelsea-Flatiron-Union Square
Sheba USA Inc.,"42-15, 81 Street","42-15, 81 Street, Elmhurst",40.7427474,-73.883968,Elmhurst,NY,11373,(718) 507-7773,Other,Queens Council District #25,Queens Community Board #3,Queens,,,,
"Shen Wei Dance Arts, Inc.",165 West 86th Street,"165 West 86th Street, New York",40.7877278,-73.9745088,New York,NY,10024,(212) 962-1113,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,173,1032188,1012170001,Upper West Side
Shorefront YM-YWHA of Brighton Manhattan Beach Inc,3300 Coney Island Avenue,"3300 Coney Island Avenue, Brooklyn",40.5756188,-73.9599991,Brooklyn,NY,11235,(347) 689-1880,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #48,Brooklyn Community Board #13,Brooklyn,36002,3326880,3086930001,Brighton Beach
"Shotgun Productions, Inc.","165 East 35th Street, Suite 7J","165 East 35th Street, Suite 7J, New York",40.7466841,-73.9777594,New York,NY,10016,(917) 371-7612,Theater,,Manhattan Community Board #6,Manhattan,80,1018910,1008910039,Murray Hill-Kips Bay
"Showpaper, Inc",915 Wyckoff Ave.,"915 Wyckoff Ave., Ridgewood",40.6970575,-73.9061779,Ridgewood,NY,11385,(347) 746-5512,Music,Queens Council District #32,Queens Community Board #5,Queens,553,4085562,4035490004,Ridgewood
"Sign of the Times Theater Company, Inc.","80 East 11th Street, Suite 301C","80 East 11th Street, Suite 301C, New York",40.7325054,-73.9917865,New York,NY,10003,(917) 334-2897,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,61,1009108,1005620024,West Village
"Signature Theatre Company, Inc.","630 Ninth Avenue, Ste. 1106","630 Ninth Avenue, Ste. 1106, New York",40.759987,-73.9912338,New York,NY,10036,(212) 967-1913 x11,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1024982,1010350001,Clinton
"Silent Cinema Presentations, Inc.",176 West 87th Street #1D,"176 West 87th Street #1D, New York",40.7881722,-73.9743184,New York,NY,10024,(212) 595-5655,Film/Video/Audio,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,173,1032218,1012170064,Upper West Side
Silver-Brown Foundation,"11 Sterling Place, Suite 5C","11 Sterling Place, Suite 5C, Brooklyn",40.6790775,-73.9782901,Brooklyn,NY,11217,(917) 482-8404,Dance,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,12902,3019034,3009417501,Park Slope-Gowanus
Sinfonietta of Riverdale,P.O. Box 177,"P.O. Box 177, Riverdale",,,Riverdale,NY,10471,(917) 689-1211,Music,Bronx Council District #11,Bronx Community Board #8,Bronx,,,,
Sing for Hope,"548 Broadway, Third Floor","548 Broadway, Third Floor, New York",40.7235342,-73.9981613,New York,NY,10012,(212) 966-5955,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,509,,,Williamsburg
"Singing Winds, Inc.",625 Greenwood Avenue,"625 Greenwood Avenue, Brooklyn",40.6518928,-73.9750942,Brooklyn,NY,11218,(718) 564-5983,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #12,Brooklyn,50202,3122596,3052770046,Windsor Terrace
Siren - protectors of the Rainforest,90 Monroe Street,"90 Monroe Street, New York City",40.684631,-73.955538,New York City,NY,11216,(917) 455-0719,"Multi-Discipline, Performing",Brooklyn Council District #36,Brooklyn Community Board #3,Manhattan,,,,
Sisters With Purpose Inc.,1310 Pennsylvania Avenue,"1310 Pennsylvania Avenue, Brooklyn",40.6487921,-73.8833019,Brooklyn,NY,11239,(646) 460-4101,Dance,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,105804,3342903,3044520001,Starrett City
"Six Figures, Inc.","P.O. Box 88, Planetarium Station","P.O. Box 88, Planetarium Station, New York",40.7851269,-73.9747219,New York,NY,10024,(212) 854-0179,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,,,,
Skyscraper Museum,39 Battery Place,"39 Battery Place, New York",40.705726,-74.0177501,New York,NY,10280,(212) 945-6324,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,31704,1085789,1000167513,Battery Park City-Lower Manhattan
"Slice Literary, Inc.",PO Box 659,"PO Box 659, New York",40.7127753,-74.0059728,New York,NY,10014,(848) 228-6077,Literature,Manhattan Council District #3,Manhattan Community Board #2,Brooklyn,,,,
Slideluck Potshow,"197 East 4th Street, Apt. 2","197 East 4th Street, Apt. 2, New York",40.7241553,-73.9840819,New York,NY,10009,(917) 804-2767,Photography,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,32,1005042,1004000059,East Village
"Smack Mellon Studios, Inc.",92 Plymouth Street,"92 Plymouth Street, Brooklyn",40.7037407,-73.9897595,Brooklyn,NY,11201,(718) 834-8761,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,21,3344162,3000270020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Smith Street Stage, Inc.",125 Ocean Parkway,"125 Ocean Parkway, Brooklyn",40.6473404,-73.9741415,Brooklyn,NY,11218,(540) 230-8670,Theater,Brooklyn Council District #39,Brooklyn Community Board #12,Brooklyn,504,3124322,3053290001,Windsor Terrace
Smithsonian National Museum of the American Indian,"232 3rd Street, Apt. D101","232 3rd Street, Apt. D101, Brooklyn",40.6747512,-73.987844,Brooklyn,NY,11215,(212) 277-8021,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,,,,
"Snug Harbor Cultural Center & Botanical Garden, Inc.",1000 Richmond Terrace,"1000 Richmond Terrace, Staten Island",40.6419122,-74.1019409,Staten Island,NY,10301,(718) 448-2500,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,97,5000000,5000760200,West New Brighton-New Brighton-St. George
